head_id,relation_id,tail_id
503793,16,1241517
376903,13,1407121
93314,40,114024
219626,88,4936
1588350,62,2015
610991,40,966330
82342,48,982299
49461,13,505341
42943,13,1429201
375074,13,500546
841311,62,3032
1407985,170,9961
1591486,13,1591458
1513595,7,638780
95877,40,1267341
1916526,7,1269311
2043782,13,2043797
14843,6,85089
1282905,13,1282885
1162095,13,1600890
364347,35,2038390
6540,6,969
81221,170,102616
109862,40,364382
88504,40,1074762
1923134,62,3992
1913536,7,1675273
177132,16,905745
423895,41,82458
2013336,13,2010769
222227,109,314897
364777,16,648342
5014,65,7983
2035683,63,841532
11153,42,1491698
242,41,71616
1276647,13,1276649
223299,88,156158
394681,54,122702
247253,40,1500195
1834825,40,1345113
14610,40,1762576
13555,35,1405880
1645407,63,833439
5024,106,783453
420300,35,417240
815895,13,1753966
1460759,7,1964867
1914711,7,174276
1511884,88,156426
1917035,7,283543
601187,88,60724
321318,6,8745
2064777,109,314897
2106747,13,2106735
1568583,13,499744
456911,6,456136
1916321,7,174311
47343,55,25069
1769182,40,2148961
2134776,63,831969
313119,48,1534262
1621436,13,1621028
16568,41,1127853
1773718,63,1774183
359348,109,314897
318278,13,366397
1457140,13,1592192
1773893,63,1774561
2153481,7,417129
15061,54,1855
1152392,13,1232809
120505,35,13384
9033,13,361205
850625,13,506843
1767463,88,314900
1949582,63,1950175
319938,6,319818
1716802,63,873129
1658350,63,836401
6870,55,5884
3334,109,314897
321291,6,6952
168432,106,317795
2025985,13,554413
1683240,40,2134494
222401,46,2542
143379,6,16999
554951,13,1950986
1657199,63,1658812
90680,40,894175
640857,170,102616
162621,65,1033
373445,13,372087
364177,13,369896
1279080,62,2795
443902,88,87828
245923,40,443922
1657665,63,838495
1271321,16,1261038
364789,13,133952
373498,13,369507
1916025,7,748306
485473,13,499602
1470225,63,1240026
63397,6,10357
94760,40,941531
10896,35,1805839
530459,40,616825
14841,35,14774
289737,41,1675775
54563,88,614392
10036,42,69444
17525,41,2170839
125579,20,665551
2134986,7,1825876
5878,7,1879406
1916951,7,417824
13555,48,886906
111793,88,1421016
1768111,40,1499215
374983,13,500514
156024,35,991878
272651,41,938970
851332,13,499187
2009505,13,2009518
12987,16,372297
693171,62,5282
236511,40,941159
88796,40,121152
1915922,7,1765250
16018,40,882379
91827,41,191205
1914265,7,283062
121768,109,1254259
1743471,7,1743042
11748,6,11747
91085,42,71237
1632227,88,592695
1123215,48,928526
3476,40,1491835
616866,35,1500363
4527,109,3812
11260,42,77738
1572201,88,1572730
1228080,7,1251299
397928,65,7983
133972,13,369451
359947,109,742793
832986,63,829782
88400,40,1127675
317357,40,163492
1974997,13,1974921
483939,6,4015
1402013,13,1401982
1972756,42,69801
111519,88,706916
32803,7,1943787
364492,42,542478
17965,40,110748
310813,41,82532
648623,13,648254
1465001,13,1377132
2094467,7,2094170
2027217,7,2027218
1405592,62,979
1913598,7,174186
812908,13,821191
1588470,63,1588447
51445,13,407216
830163,63,830159
1914542,7,526822
10309,48,77450
1262680,13,1260084
692432,54,10116
311565,170,4101
1657936,63,845600
832243,63,844714
83027,48,1966728
358910,88,360167
289897,40,910793
723150,41,1113798
14857,65,52548
842213,63,844884
1923099,63,1923244
2184613,13,2184384
840756,62,9190
164165,48,1749257
2120673,7,2120478
218450,48,958999
7885,6,1790
1908628,13,1908609
503973,13,500807
1830183,62,6213
1658742,63,834955
76630,170,381895
91035,42,497817
1658533,63,1238681
1658222,63,844464
120673,109,393568
171535,16,361360
1769109,40,2191147
1582506,62,1580
404026,13,404922
11320,6,320188
121738,106,6249
374381,13,1388790
2010141,7,2010142
1588460,62,1289
2089540,40,934241
290530,88,614392
1830163,63,1829970
620552,170,102616
837778,63,836736
289953,40,1294334
800408,13,1428040
2077526,13,2077530
1834131,40,1642921
11153,42,74223
789480,13,789874
1916374,7,487887
322177,6,320012
485482,13,770123
199737,109,232563
1601921,13,1601925
554808,13,554052
13946,55,1115
414106,62,7551
873573,109,393568
13910,7,2110416
2173497,7,2173859
12435,35,910390
177218,7,16643
282427,16,370844
1123661,170,1161675
1927556,63,1949979
8253,48,957146
2044776,7,2065378
8177,13,1377474
210513,88,4406
1789,13,504239
320930,6,365423
54540,88,2629
313844,40,358968
1914326,7,488612
202415,65,4040
1684,13,1425302
826308,35,1160237
12813,40,1548175
